Latitude,Longitude,Tenure Months,Monthly Charges,Total Charges,Churn Value,CLTV,Is_New_Customer,Is_Long_Term_Customer,Charges_Per_Tenure,Estimated_Total_Charges,High_Monthly_Charges,TotalCharges_to_MonthlyRatio,Contract_Risk_Level,Is_Month_To_Month,Is_Electronic_Check,Has_Internet_Service,Is_Fiber_Optic,Total_Services_Count,Protection_Support_Count,Streaming_Services_Count,No_Online_Security,No_Tech_Support,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Tenure_Group_13_24_months,Tenure_Group_25_48_months,Tenure_Group_49_72_months
33.964131,-118.272783,2,53.85,108.15,1,3239,1,0,17.95,107.7,0,2.0083565086656177,2,1,0,1,0,3,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34.059281,-118.30742,2,70.7,151.65,1,2701,1,0,23.566666666666666,141.4,1,2.144978753253483,2,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
34.048013,-118.293953,8,99.65,820.5,1,5372,1,0,11.072222222222223,797.2,1,8.233818281647583,2,1,1,1,1,5,1,2,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
34.062125,-118.315709,28,104.8,3046.05,1,5003,0,0,3.613793103448276,2934.4,1,29.065362318078606,2,1,1,1,1,6,2,2,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
34.039224,-118.266293,49,103.7,5036.3,1,5340,0,1,2.074,5081.3,1,48.56605546223669,2,1,0,1,1,6,2,2,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
34.066367,-118.309868,10,55.2,528.35,1,5925,1,0,5.0181818181818185,552.0,0,9.571557797616707,2,1,0,1,0,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
34.02381,-118.156582,1,39.65,39.65,1,5433,1,0,19.825,39.65,0,0.9999999747793198,2,1,1,1,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
34.066303,-118.435479,1,20.15,20.15,1,4832,1,0,10.075,20.15,0,0.9999999503722109,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
34.099869,-118.326843,47,99.35,4749.15,1,5789,0,0,2.0697916666666667,4669.45,1,47.80221391240852,2,1,1,1,1,5,1,2,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
34.089953,-118.294824,1,30.2,30.2,1,2915,1,0,15.1,30.2,0,0.9999999668874183,2,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34.078821,-118.177576,17,64.7,1093.1,1,3022,0,0,3.5944444444444446,1099.9,0,16.894899275194756,2,1,0,1,0,3,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
34.110845,-118.259595,5,69.7,316.9,1,2454,1,0,11.616666666666667,348.5,0,4.546628342229148,2,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
34.137412,-118.207607,34,106.35,3549.25,1,2941,0,0,3.0385714285714283,3615.8999999999996,1,33.37329540786747,2,1,1,1,1,6,2,2,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
34.11572,-118.192754,11,97.85,1105.4,1,5674,1,0,8.154166666666667,1076.35,1,11.296882868708403,2,1,0,1,1,5,1,2,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
