Run ID,Run Name,Project Step,Parameter,Value
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,dataset_version,v3
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,model_name,LogisticRegression
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,random_state,42
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,train_rows,4225
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,validation_rows,1409
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,test_rows,1409
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,number_of_features,52
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,tracking_backend,sqlite
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,max_iter,2000
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,class_weight,balanced
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,dataset_version,v3
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,model_name,RandomForest
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,random_state,42
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,train_rows,4225
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,validation_rows,1409
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,test_rows,1409
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,number_of_features,52
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,tracking_backend,sqlite
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,n_estimators,300
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,max_depth,None
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,min_samples_split,2
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,min_samples_leaf,1
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,class_weight,balanced
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,dataset_version,v3
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,model_name,XGBoost
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,random_state,42
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,train_rows,4225
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,validation_rows,1409
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,test_rows,1409
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,number_of_features,52
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,tracking_backend,sqlite
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,n_estimators,300
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,max_depth,3
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,learning_rate,0.05
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,subsample,0.9
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,colsample_bytree,0.9
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,scale_pos_weight,2.768956289027654
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,dataset_version,v3
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,model_name,CatBoost
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,random_state,42
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,train_rows,4225
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,validation_rows,1409
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,test_rows,1409
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,number_of_features,52
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,tracking_backend,sqlite
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,iterations,300
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,depth,6
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,learning_rate,0.05
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,auto_class_weights,Balanced
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,dataset_version,v3
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,best_model,CatBoost
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,selection_rule,"Highest validation F1-score, then highest validation ROC-AUC"
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,tracking_backend,sqlite
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,step,step_06_cross_validation_hyperparameter_tuning_v3
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,dataset_version,v3_encoded_unscaled
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,model_name,LogisticRegression
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,cv_folds,5
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,n_iter,12
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,refit_metric,f1
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,tracking_backend,sqlite
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,train_validation_rows,5634
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,test_rows,1409
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,number_of_features,52
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,best_model__solver,liblinear
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,best_model__penalty,l1
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,best_model__C,0.05
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,step,step_06_cross_validation_hyperparameter_tuning_v3
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,dataset_version,v3_encoded_unscaled
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,model_name,RandomForest
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,cv_folds,5
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,n_iter,15
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,refit_metric,f1
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,tracking_backend,sqlite
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,train_validation_rows,5634
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,test_rows,1409
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,number_of_features,52
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_n_estimators,500
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_min_samples_split,2
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_min_samples_leaf,4
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_max_features,None
