Run ID,Run Name,Project Step,Tag,Value
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,mlflow.user,NezarHalabia
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,mlflow.source.name,Untitled.ipynb
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,mlflow.source.type,NOTEBOOK
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,mlflow.runName,baseline_v3_LogisticRegression
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,mlflow.user,NezarHalabia
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,mlflow.source.name,Untitled.ipynb
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,mlflow.source.type,NOTEBOOK
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,mlflow.runName,baseline_v3_RandomForest
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,mlflow.user,NezarHalabia
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,mlflow.source.name,Untitled.ipynb
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,mlflow.source.type,NOTEBOOK
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,mlflow.runName,baseline_v3_XGBoost
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,mlflow.user,NezarHalabia
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,mlflow.source.name,Untitled.ipynb
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,mlflow.source.type,NOTEBOOK
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,mlflow.runName,baseline_v3_CatBoost
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,mlflow.user,NezarHalabia
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,mlflow.source.name,Untitled.ipynb
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,mlflow.source.type,NOTEBOOK
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,mlflow.runName,best_baseline_v3_CatBoost_test_evaluation
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.user,NezarHalabia
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.name,Untitled.ipynb
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.type,NOTEBOOK
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.runName,tuning_v3_LogisticRegression
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.user,NezarHalabia
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.name,Untitled.ipynb
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.type,NOTEBOOK
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.runName,tuning_v3_RandomForest
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.user,NezarHalabia
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.name,Untitled.ipynb
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.type,NOTEBOOK
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.runName,tuning_v3_XGBoost
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.user,NezarHalabia
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.name,Untitled.ipynb
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.type,NOTEBOOK
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.runName,tuning_v3_LogisticRegression
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,project_step,step_06_cross_validation_hyperparameter_tuning_v3
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,script_name,script_01_cv_tuning_models_v3
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,clean_rerun,True
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.user,NezarHalabia
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.name,Untitled.ipynb
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.type,NOTEBOOK
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.runName,tuning_v3_RandomForest
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,project_step,step_06_cross_validation_hyperparameter_tuning_v3
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,script_name,script_01_cv_tuning_models_v3
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,clean_rerun,True
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.user,NezarHalabia
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.name,Untitled.ipynb
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.type,NOTEBOOK
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.runName,tuning_v3_XGBoost
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,project_step,step_06_cross_validation_hyperparameter_tuning_v3
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,script_name,script_01_cv_tuning_models_v3
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,clean_rerun,True
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.user,NezarHalabia
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.name,Untitled.ipynb
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.type,NOTEBOOK
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.runName,tuning_v3_CatBoost
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,project_step,step_06_cross_validation_hyperparameter_tuning_v3
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,script_name,script_01_cv_tuning_models_v3
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,clean_rerun,True
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.user,NezarHalabia
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.name,Untitled.ipynb
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.source.type,NOTEBOOK
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,mlflow.runName,best_tuned_v3_CatBoost_test_evaluation
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,project_step,step_06_cross_validation_hyperparameter_tuning_v3
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,script_name,script_01_cv_tuning_models_v3
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,clean_rerun,True
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,mlflow.user,NezarHalabia
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,mlflow.source.name,Untitled.ipynb
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,mlflow.source.type,NOTEBOOK
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,mlflow.runName,threshold_optimization_v3_best_tuned_model
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,project_step,step_07_threshold_optimization_v3
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,script_name,script_01_optimize_threshold_best_tuned_model_v3
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,mlflow.user,NezarHalabia
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,mlflow.source.name,Untitled.ipynb
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,mlflow.source.type,NOTEBOOK
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,mlflow.runName,final_champion_v3_selection_and_packaging
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,project_step,step_08_final_champion_selection_packaging_v3
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,script_name,script_01_select_and_package_final_champion_model_v3
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,mlflow.user,NezarHalabia
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,mlflow.source.name,Untitled.ipynb
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,mlflow.source.type,NOTEBOOK
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,mlflow.runName,final_inference_module_v3_test
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,project_step,step_09_final_inference_module_v3
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,script_name,script_01_create_and_test_inference_module_v3
